train.py --data citeseer --layer 32 --hidden 256 --lamda 0.6 --dropout 0.7 --variant --test 
Epoch:0001 train loss:1.792 acc:15.83 | val loss:1.791 acc:18.80
Epoch:0002 train loss:1.790 acc:17.50 | val loss:1.792 acc:18.60
Epoch:0003 train loss:1.792 acc:14.17 | val loss:1.792 acc:19.40
Epoch:0004 train loss:1.790 acc:20.83 | val loss:1.791 acc:6.40
Epoch:0005 train loss:1.788 acc:25.83 | val loss:1.790 acc:8.00
Epoch:0006 train loss:1.788 acc:23.33 | val loss:1.789 acc:16.80
Epoch:0007 train loss:1.790 acc:17.50 | val loss:1.788 acc:18.00
Epoch:0008 train loss:1.780 acc:16.67 | val loss:1.787 acc:17.80
Epoch:0009 train loss:1.797 acc:15.00 | val loss:1.785 acc:17.40
Epoch:0010 train loss:1.818 acc:27.50 | val loss:1.785 acc:19.80
Epoch:0011 train loss:1.775 acc:25.00 | val loss:1.783 acc:27.20
Epoch:0012 train loss:1.790 acc:21.67 | val loss:1.782 acc:32.60
Epoch:0013 train loss:1.771 acc:17.50 | val loss:1.781 acc:43.80
Epoch:0014 train loss:1.776 acc:28.33 | val loss:1.779 acc:51.40
Epoch:0015 train loss:1.792 acc:28.33 | val loss:1.777 acc:58.60
Epoch:0016 train loss:2.086 acc:19.17 | val loss:1.774 acc:55.40
Epoch:0017 train loss:1.771 acc:32.50 | val loss:1.771 acc:50.20
Epoch:0018 train loss:1.772 acc:30.83 | val loss:1.768 acc:43.40
Epoch:0019 train loss:1.759 acc:30.83 | val loss:1.766 acc:41.20
Epoch:0020 train loss:1.782 acc:30.00 | val loss:1.765 acc:41.40
Epoch:0021 train loss:1.763 acc:25.83 | val loss:1.764 acc:43.60
Epoch:0022 train loss:1.778 acc:23.33 | val loss:1.764 acc:47.20
Epoch:0023 train loss:1.769 acc:26.67 | val loss:1.764 acc:51.20
Epoch:0024 train loss:1.777 acc:33.33 | val loss:1.764 acc:54.60
Epoch:0025 train loss:1.857 acc:26.67 | val loss:1.764 acc:58.80
Epoch:0026 train loss:1.741 acc:25.83 | val loss:1.764 acc:56.80
Epoch:0027 train loss:1.748 acc:35.00 | val loss:1.763 acc:54.20
Epoch:0028 train loss:1.719 acc:35.83 | val loss:1.763 acc:50.00
Epoch:0029 train loss:1.756 acc:27.50 | val loss:1.763 acc:48.00
Epoch:0030 train loss:1.920 acc:31.67 | val loss:1.761 acc:48.40
Epoch:0031 train loss:1.761 acc:29.17 | val loss:1.759 acc:51.40
Epoch:0032 train loss:1.761 acc:30.00 | val loss:1.757 acc:53.60
Epoch:0033 train loss:1.859 acc:24.17 | val loss:1.755 acc:55.00
Epoch:0034 train loss:1.786 acc:30.00 | val loss:1.753 acc:54.20
Epoch:0035 train loss:1.722 acc:32.50 | val loss:1.751 acc:54.80
Epoch:0036 train loss:1.801 acc:32.50 | val loss:1.749 acc:53.00
Epoch:0037 train loss:1.739 acc:36.67 | val loss:1.747 acc:52.40
