train.py --data cora --layer 64 --variant --test 
Epoch:0001 train loss:1.948 acc:17.86 | val loss:1.939 acc:30.80
Epoch:0002 train loss:1.946 acc:15.00 | val loss:1.938 acc:25.20
Epoch:0003 train loss:1.943 acc:16.43 | val loss:1.938 acc:23.20
Epoch:0004 train loss:1.944 acc:20.00 | val loss:1.938 acc:24.00
Epoch:0005 train loss:1.935 acc:25.71 | val loss:1.938 acc:25.40
Epoch:0006 train loss:1.935 acc:21.43 | val loss:1.937 acc:30.60
Epoch:0007 train loss:1.931 acc:26.43 | val loss:1.936 acc:35.60
Epoch:0008 train loss:1.933 acc:18.57 | val loss:1.935 acc:37.60
Epoch:0009 train loss:1.918 acc:35.00 | val loss:1.933 acc:38.80
Epoch:0010 train loss:1.916 acc:29.29 | val loss:1.931 acc:45.80
Epoch:0011 train loss:1.915 acc:28.57 | val loss:1.928 acc:47.80
Epoch:0012 train loss:1.911 acc:35.00 | val loss:1.925 acc:45.60
Epoch:0013 train loss:1.907 acc:22.86 | val loss:1.921 acc:41.20
Epoch:0014 train loss:1.898 acc:27.14 | val loss:1.918 acc:37.20
Epoch:0015 train loss:1.898 acc:38.57 | val loss:1.915 acc:37.20
Epoch:0016 train loss:1.899 acc:29.29 | val loss:1.912 acc:35.20
Epoch:0017 train loss:1.896 acc:33.57 | val loss:1.908 acc:35.80
Epoch:0018 train loss:1.897 acc:30.00 | val loss:1.904 acc:38.20
Epoch:0019 train loss:2.154 acc:30.00 | val loss:1.900 acc:43.20
Epoch:0020 train loss:1.888 acc:30.00 | val loss:1.895 acc:47.40
Epoch:0021 train loss:1.870 acc:36.43 | val loss:1.891 acc:50.80
Epoch:0022 train loss:1.874 acc:26.43 | val loss:1.886 acc:58.40
Epoch:0023 train loss:1.919 acc:28.57 | val loss:1.881 acc:63.00
Epoch:0024 train loss:1.868 acc:30.71 | val loss:1.877 acc:65.80
Epoch:0025 train loss:1.860 acc:41.43 | val loss:1.871 acc:67.60
Epoch:0026 train loss:1.835 acc:37.86 | val loss:1.867 acc:69.60
Epoch:0027 train loss:1.836 acc:36.43 | val loss:1.862 acc:70.40
Epoch:0028 train loss:1.841 acc:42.14 | val loss:1.858 acc:72.20
Epoch:0029 train loss:1.834 acc:36.43 | val loss:1.853 acc:72.80
Epoch:0030 train loss:1.857 acc:37.14 | val loss:1.849 acc:74.00
Epoch:0031 train loss:1.822 acc:43.57 | val loss:1.844 acc:73.40
Epoch:0032 train loss:1.823 acc:37.14 | val loss:1.838 acc:72.80
Epoch:0033 train loss:1.781 acc:47.14 | val loss:1.833 acc:74.20
Epoch:0034 train loss:1.791 acc:45.71 | val loss:1.827 acc:73.80
