train.py --data pubmed --layer 16 --hidden 256 --lamda 0.4 --dropout 0.5 --wd1 5e-4 --test 
Epoch:0001 train loss:1.098 acc:35.00 | val loss:1.100 acc:22.00
Epoch:0002 train loss:1.095 acc:35.00 | val loss:1.097 acc:23.60
Epoch:0003 train loss:1.091 acc:46.67 | val loss:1.094 acc:39.60
Epoch:0004 train loss:1.083 acc:48.33 | val loss:1.091 acc:50.80
Epoch:0005 train loss:1.078 acc:55.00 | val loss:1.086 acc:53.20
Epoch:0006 train loss:1.066 acc:63.33 | val loss:1.081 acc:55.80
Epoch:0007 train loss:1.054 acc:66.67 | val loss:1.072 acc:62.60
Epoch:0008 train loss:1.043 acc:68.33 | val loss:1.062 acc:67.20
Epoch:0009 train loss:1.024 acc:68.33 | val loss:1.050 acc:68.20
Epoch:0010 train loss:0.999 acc:78.33 | val loss:1.032 acc:68.80
Epoch:0011 train loss:0.962 acc:75.00 | val loss:1.007 acc:68.80
Epoch:0012 train loss:0.930 acc:76.67 | val loss:0.972 acc:70.00
Epoch:0013 train loss:0.887 acc:75.00 | val loss:0.925 acc:69.80
Epoch:0014 train loss:0.798 acc:80.00 | val loss:0.858 acc:60.20
Epoch:0015 train loss:0.711 acc:78.33 | val loss:0.814 acc:58.40
Epoch:0016 train loss:0.642 acc:86.67 | val loss:0.788 acc:55.40
Epoch:0017 train loss:0.637 acc:75.00 | val loss:0.943 acc:69.60
Epoch:0018 train loss:0.696 acc:73.33 | val loss:0.785 acc:61.60
Epoch:0019 train loss:0.687 acc:75.00 | val loss:0.765 acc:70.00
Epoch:0020 train loss:0.588 acc:81.67 | val loss:0.810 acc:72.80
Epoch:0021 train loss:0.554 acc:80.00 | val loss:0.855 acc:72.60
Epoch:0022 train loss:0.577 acc:76.67 | val loss:0.774 acc:73.60
Epoch:0023 train loss:0.545 acc:80.00 | val loss:0.740 acc:66.40
Epoch:0024 train loss:0.558 acc:85.00 | val loss:0.733 acc:68.80
Epoch:0025 train loss:0.527 acc:85.00 | val loss:0.720 acc:76.40
Epoch:0026 train loss:0.498 acc:91.67 | val loss:0.749 acc:75.20
Epoch:0027 train loss:0.492 acc:88.33 | val loss:0.769 acc:73.80
Epoch:0028 train loss:0.546 acc:83.33 | val loss:0.691 acc:77.40
Epoch:0029 train loss:0.433 acc:91.67 | val loss:0.683 acc:71.20
Epoch:0030 train loss:0.492 acc:88.33 | val loss:0.655 acc:77.40
Epoch:0031 train loss:0.420 acc:91.67 | val loss:0.671 acc:75.80
Epoch:0032 train loss:0.391 acc:93.33 | val loss:0.682 acc:74.80
Epoch:0033 train loss:0.384 acc:88.33 | val loss:0.614 acc:79.00
Epoch:0034 train loss:0.311 acc:96.67 | val loss:0.604 acc:76.60
Epoch:0035 train loss:0.343 acc:91.67 | val loss:0.598 acc:79.80
Epoch:0036 train loss:0.317 acc:93.33 | val loss:0.670 acc:77.00
Epoch:0037 train loss:0.320 acc:88.33 | val loss:0.593 acc:76.00
Epoch:0038 train loss:0.382 acc:88.33 | val loss:0.660 acc:70.00
Epoch:0039 train loss:0.362 acc:85.00 | val loss:0.848 acc:72.00
Epoch:0040 train loss:0.449 acc:85.00 | val loss:0.712 acc:73.00
Epoch:0041 train loss:0.397 acc:90.00 | val loss:0.650 acc:74.80
Epoch:0042 train loss:0.413 acc:85.00 | val loss:0.552 acc:78.20
Epoch:0043 train loss:0.339 acc:93.33 | val loss:0.623 acc:72.80
Epoch:0044 train loss:0.323 acc:91.67 | val loss:0.643 acc:76.80
Epoch:0045 train loss:0.308 acc:91.67 | val loss:0.648 acc:78.80
